Library,Event Year,Event Month,Category,Age Group,Events,Attendance
TRL Online Virtual Events,2020,11,"Activities & Games, Books & Authors, Classes & Workshops",Teen (ages 12-18),1,5
TRL Online Virtual Events,2020,11,"Activities & Games, Classes & Workshops, Music & Performance",Teen (ages 12-18),2,14
TRL Online Virtual Events,2020,11,Books & Authors,Adult (18 and older),4,30
TRL Online Virtual Events,2020,11,Classes & Workshops,Adult (18 and older),3,73
TRL Online Virtual Events,2020,11,Classes & Workshops,"Adult (18 and older), Family",1,
TRL Online Virtual Events,2020,11,Classes & Workshops,Teen (ages 12-18),1,5
TRL Online Virtual Events,2020,11,DIY & Crafts,Adult (18 and older),1,
TRL Online Virtual Events,2020,11,DIY & Crafts,"Teen (ages 12-18), Adult (18 and older)",1,
TRL Online Virtual Events,2020,11,Early Learning & Storytime,Babies and Toddlers (ages 0-2),4,34
TRL Online Virtual Events,2020,11,Early Learning & Storytime,"Babies and Toddlers (ages 0-2), Preschool (ages 3-6), Family",12,78
TRL Online Virtual Events,2020,11,"Featured, Activities & Games",Teen (ages 12-18),2,5
TRL Online Virtual Events,2020,11,"Featured, Arts & Culture",Teen (ages 12-18),1,2
TRL Online Virtual Events,2020,11,"Featured, Books & Authors",School Age (ages 6-11),1,
TRL Online Virtual Events,2020,11,"Featured, Books & Authors","Teen (ages 12-18), Adult (18 and older)",1,
TRL Online Virtual Events,2020,11,"Featured, Summer Library Program, Activities & Games",Teen (ages 12-18),1,10
TRL Online Virtual Events,2020,11,"Featured, Summer Library Program, Books & Authors",Teen (ages 12-18),1,2
TRL Online Virtual Events,2020,11,Featured,Adult (18 and older),1,
TRL Online Virtual Events,2020,11,Music & Performance,School Age (ages 6-11),1,1
TRL Online Virtual Events,2020,11,"Special Event, Arts & Culture",Adult (18 and older),1,24
TRL Online Virtual Events,2020,11,"Special Event, Early Learning & Storytime, Activities & Games, Arts & Culture","All Ages, Family",1,
TRL Online Virtual Events,2020,11,STEAM,School Age (ages 6-11),1,5
TRL Online Virtual Events,2020,12,"Activities & Games, Books & Authors, Classes & Workshops",Teen (ages 12-18),1,4
TRL Online Virtual Events,2020,12,Books & Authors,Adult (18 and older),1,6
TRL Online Virtual Events,2020,12,Classes & Workshops,Adult (18 and older),1,23
TRL Online Virtual Events,2020,12,Classes & Workshops,"Adult (18 and older), Family",1,
TRL Online Virtual Events,2020,12,Classes & Workshops,Teen (ages 12-18),1,4
TRL Online Virtual Events,2020,12,DIY & Crafts,Adult (18 and older),1,
TRL Online Virtual Events,2020,12,DIY & Crafts,Family,1,
TRL Online Virtual Events,2020,12,Early Learning & Storytime,Babies and Toddlers (ages 0-2),3,12
TRL Online Virtual Events,2020,12,Early Learning & Storytime,"Babies and Toddlers (ages 0-2), Preschool (ages 3-6), Family",8,107
TRL Online Virtual Events,2020,12,"Featured, Activities & Games",Teen (ages 12-18),1,2
TRL Online Virtual Events,2020,12,"Featured, Arts & Culture",Teen (ages 12-18),1,1
TRL Online Virtual Events,2020,12,"Featured, Books & Authors",Adult (18 and older),2,23
TRL Online Virtual Events,2020,12,"Featured, Books & Authors",School Age (ages 6-11),1,8
TRL Online Virtual Events,2020,12,"Featured, Books & Authors","Teen (ages 12-18), Adult (18 and older)",1,
TRL Online Virtual Events,2020,12,"Special Event, Arts & Culture",Adult (18 and older),2,62
TRL Online Virtual Events,2020,12,"Special Event, Early Learning & Storytime, Activities & Games, Arts & Culture","All Ages, Family",1,
TRL Online Virtual Events,2020,12,STEAM,School Age (ages 6-11),1,2
TRL Online Virtual Events,2020,4,Books & Authors,Adult (18 and older),2,17
TRL Online Virtual Events,2020,4,Books & Authors,Teen (ages 12-18),1,3
TRL Online Virtual Events,2020,4,DIY & Crafts,All Ages,1,200
TRL Online Virtual Events,2020,4,Early Learning & Storytime,"Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11)",2,
TRL Online Virtual Events,2020,4,"Featured, Activities & Games",Teen (ages 12-18),3,12
TRL Online Virtual Events,2020,5,Arts & Culture,"Teen (ages 12-18), Adult (18 and older)",1,18
TRL Online Virtual Events,2020,5,Books & Authors,Adult (18 and older),4,24
TRL Online Virtual Events,2020,5,"Early Learning & Storytime, Summer Library Program, STEAM",Preschool (ages 3-6),1,
TRL Online Virtual Events,2020,5,"Early Learning & Storytime, Summer Library Program",Babies and Toddlers (ages 0-2),2,
TRL Online Virtual Events,2020,5,"Early Learning & Storytime, Summer Library Program","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), Family",1,
TRL Online Virtual Events,2020,5,"Early Learning & Storytime, Summer Library Program",Preschool (ages 3-6),1,
TRL Online Virtual Events,2020,5,Early Learning & Storytime,"Babies and Toddlers (ages 0-2), Preschool (ages 3-6), Family",2,
TRL Online Virtual Events,2020,5,Early Learning & Storytime,"Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11)",1,
TRL Online Virtual Events,2020,5,"Featured, Activities & Games",Teen (ages 12-18),5,22
TRL Online Virtual Events,2020,5,"Featured, Books & Authors",Teen (ages 12-18),1,7
TRL Online Virtual Events,2020,5,Featured,Adult (18 and older),1,10
TRL Online Virtual Events,2020,5,"Special Event, Arts & Culture",Adult (18 and older),1,31
TRL Online Virtual Events,2020,5,"Summer Library Program, Books & Authors",Adult (18 and older),1,5
TRL Online Virtual Events,2020,6,Books & Authors,Adult (18 and older),2,5
TRL Online Virtual Events,2020,6,DIY & Crafts,School Age (ages 6-11),1,8
TRL Online Virtual Events,2020,6,"Early Learning & Storytime, Summer Library Program, STEAM, DIY & Crafts","Preschool (ages 3-6), School Age (ages 6-11)",1,208
TRL Online Virtual Events,2020,6,"Early Learning & Storytime, Summer Library Program, STEAM",Preschool (ages 3-6),4,
TRL Online Virtual Events,2020,6,"Early Learning & Storytime, Summer Library Program",Babies and Toddlers (ages 0-2),9,
TRL Online Virtual Events,2020,6,"Early Learning & Storytime, Summer Library Program","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), Family",9,
TRL Online Virtual Events,2020,6,"Early Learning & Storytime, Summer Library Program",Preschool (ages 3-6),4,
TRL Online Virtual Events,2020,6,"Featured, Summer Library Program, Activities & Games, Classes & Workshops",Teen (ages 12-18),1,9
TRL Online Virtual Events,2020,6,"Featured, Summer Library Program, Activities & Games","Preschool (ages 3-6), School Age (ages 6-11), Teen (ages 12-18), Adult (18 and older), All Ages, Family",1,8
TRL Online Virtual Events,2020,6,"Featured, Summer Library Program, Activities & Games",Teen (ages 12-18),2,21
TRL Online Virtual Events,2020,6,"Featured, Summer Library Program, Books & Authors","Preschool (ages 3-6), School Age (ages 6-11), Teen (ages 12-18), Adult (18 and older), All Ages",1,
TRL Online Virtual Events,2020,6,"Featured, Summer Library Program, Books & Authors","School Age (ages 6-11), Teen (ages 12-18)",1,6
TRL Online Virtual Events,2020,6,"Featured, Summer Library Program, Books & Authors",Teen (ages 12-18),2,7
TRL Online Virtual Events,2020,6,"Featured, Summer Library Program, DIY & Crafts","Adult (18 and older), Family",1,0
TRL Online Virtual Events,2020,6,"Featured, Summer Library Program, Music & Performance","Preschool (ages 3-6), School Age (ages 6-11), Teen (ages 12-18), All Ages, Family",2,
TRL Online Virtual Events,2020,6,"Featured, Summer Library Program, STEAM, Books & Authors","Teen (ages 12-18), Adult (18 and older)",1,83
TRL Online Virtual Events,2020,6,Featured,Adult (18 and older),1,6
TRL Online Virtual Events,2020,6,"Special Event, Arts & Culture",Adult (18 and older),1,28
TRL Online Virtual Events,2020,6,"Special Event, Summer Library Program, Activities & Games",Teen (ages 12-18),1,
TRL Online Virtual Events,2020,6,"Summer Library Program, Activities & Games",Teen (ages 12-18),1,0
TRL Online Virtual Events,2020,6,"Summer Library Program, Books & Authors",Adult (18 and older),2,14
TRL Online Virtual Events,2020,6,"Summer Library Program, DIY & Crafts",Adult (18 and older),1,3
TRL Online Virtual Events,2020,6,"Summer Library Program, STEAM, Arts & Culture, DIY & Crafts",School Age (ages 6-11),1,3
TRL Online Virtual Events,2020,6,"Summer Library Program, STEAM, Arts & Culture",Teen (ages 12-18),1,0
TRL Online Virtual Events,2020,7,DIY & Crafts,School Age (ages 6-11),1,
TRL Online Virtual Events,2020,7,"Early Learning & Storytime, Summer Library Program, STEAM",Preschool (ages 3-6),3,
TRL Online Virtual Events,2020,7,"Early Learning & Storytime, Summer Library Program",Babies and Toddlers (ages 0-2),9,
TRL Online Virtual Events,2020,7,"Early Learning & Storytime, Summer Library Program","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), Family",10,
TRL Online Virtual Events,2020,7,"Early Learning & Storytime, Summer Library Program",Preschool (ages 3-6),5,
TRL Online Virtual Events,2020,7,"Featured, Special Event, Summer Library Program, STEAM","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Teen (ages 12-18), Adult (18 and older), All Ages, Family",5,
TRL Online Virtual Events,2020,7,"Featured, Special Event, Summer Library Program, STEAM","Preschool (ages 3-6), School Age (ages 6-11), Family",6,
TRL Online Virtual Events,2020,7,"Featured, Summer Library Program, Activities & Games, Classes & Workshops",Teen (ages 12-18),1,6
TRL Online Virtual Events,2020,7,"Featured, Summer Library Program, Activities & Games",Teen (ages 12-18),2,18
TRL Online Virtual Events,2020,7,"Featured, Summer Library Program, Arts & Culture",Teen (ages 12-18),1,2
TRL Online Virtual Events,2020,7,"Featured, Summer Library Program, Books & Authors","Preschool (ages 3-6), School Age (ages 6-11), Teen (ages 12-18), Adult (18 and older), All Ages",1,
TRL Online Virtual Events,2020,7,"Featured, Summer Library Program, Books & Authors",Teen (ages 12-18),2,7
TRL Online Virtual Events,2020,7,Featured,Adult (18 and older),1,
TRL Online Virtual Events,2020,7,"Special Event, Arts & Culture, Music & Performance","Teen (ages 12-18), Adult (18 and older)",1,10
TRL Online Virtual Events,2020,7,"Special Event, Arts & Culture",Adult (18 and older),1,20
TRL Online Virtual Events,2020,7,"Summer Library Program, Activities & Games","Preschool (ages 3-6), School Age (ages 6-11), Family",1,0
TRL Online Virtual Events,2020,7,"Summer Library Program, Arts & Culture","Teen (ages 12-18), Adult (18 and older)",1,
TRL Online Virtual Events,2020,7,"Summer Library Program, Books & Authors",Adult (18 and older),2,5
TRL Online Virtual Events,2020,7,"Summer Library Program, Books & Authors",School Age (ages 6-11),1,2
TRL Online Virtual Events,2020,7,"Summer Library Program, Books & Authors","School Age (ages 6-11), Teen (ages 12-18)",1,
TRL Online Virtual Events,2020,7,"Summer Library Program, STEAM, Arts & Culture",School Age (ages 6-11),1,5
TRL Online Virtual Events,2020,7,"Summer Library Program, STEAM",School Age (ages 6-11),1,4
TRL Online Virtual Events,2020,7,Summer Library Program,"Adult (18 and older), All Ages, Family",1,0
TRL Online Virtual Events,2020,7,Summer Library Program,Teen (ages 12-18),1,0
TRL Online Virtual Events,2020,8,Books & Authors,"School Age (ages 6-11), Teen (ages 12-18)",1,
TRL Online Virtual Events,2020,8,DIY & Crafts,School Age (ages 6-11),1,2
TRL Online Virtual Events,2020,8,"Early Learning & Storytime, Summer Library Program, STEAM",Preschool (ages 3-6),5,
TRL Online Virtual Events,2020,8,"Early Learning & Storytime, Summer Library Program",Babies and Toddlers (ages 0-2),8,
TRL Online Virtual Events,2020,8,"Early Learning & Storytime, Summer Library Program","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), Family",10,4
TRL Online Virtual Events,2020,8,"Early Learning & Storytime, Summer Library Program",Preschool (ages 3-6),4,
TRL Online Virtual Events,2020,8,"Featured, Summer Library Program, Activities & Games, Classes & Workshops",Teen (ages 12-18),1,5
TRL Online Virtual Events,2020,8,"Featured, Summer Library Program, Activities & Games",Teen (ages 12-18),2,18
TRL Online Virtual Events,2020,8,"Featured, Summer Library Program, Arts & Culture",Teen (ages 12-18),1,1
TRL Online Virtual Events,2020,8,"Featured, Summer Library Program, Books & Authors","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Teen (ages 12-18), Adult (18 and older), All Ages, Family",1,
TRL Online Virtual Events,2020,8,"Featured, Summer Library Program, Books & Authors",Teen (ages 12-18),2,6
TRL Online Virtual Events,2020,8,Featured,Adult (18 and older),1,
TRL Online Virtual Events,2020,8,"Special Event, Arts & Culture",Adult (18 and older),1,18
TRL Online Virtual Events,2020,8,"Summer Library Program, Arts & Culture","Teen (ages 12-18), Adult (18 and older)",1,9
TRL Online Virtual Events,2020,8,"Summer Library Program, Books & Authors",Adult (18 and older),2,6
TRL Online Virtual Events,2020,8,"Summer Library Program, STEAM, Arts & Culture",School Age (ages 6-11),1,1
TRL Online Virtual Events,2020,8,"Summer Library Program, STEAM",Preschool (ages 3-6),5,20
TRL Online Virtual Events,2020,8,"Summer Library Program, STEAM",School Age (ages 6-11),1,13
TRL Online Virtual Events,2020,8,Summer Library Program,All Ages,1,
TRL Online Virtual Events,2020,8,Summer Library Program,Teen (ages 12-18),2,4
TRL Online Virtual Events,2020,9,"Activities & Games, Classes & Workshops, Music & Performance",Teen (ages 12-18),2,10
TRL Online Virtual Events,2020,9,"Activities & Games, DIY & Crafts",Teen (ages 12-18),1,
TRL Online Virtual Events,2020,9,Books & Authors,Adult (18 and older),4,20
TRL Online Virtual Events,2020,9,Books & Authors,"Adult (18 and older), All Ages",1,22
TRL Online Virtual Events,2020,9,DIY & Crafts,School Age (ages 6-11),1,1
TRL Online Virtual Events,2020,9,"Early Learning & Storytime, Summer Library Program, STEAM",Preschool (ages 3-6),1,
TRL Online Virtual Events,2020,9,"Early Learning & Storytime, Summer Library Program",Babies and Toddlers (ages 0-2),2,
TRL Online Virtual Events,2020,9,"Early Learning & Storytime, Summer Library Program","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), Family",1,
TRL Online Virtual Events,2020,9,"Early Learning & Storytime, Summer Library Program",Preschool (ages 3-6),1,
TRL Online Virtual Events,2020,9,Early Learning & Storytime,Babies and Toddlers (ages 0-2),3,14
TRL Online Virtual Events,2020,9,Early Learning & Storytime,"Babies and Toddlers (ages 0-2), Preschool (ages 3-6), Family",7,54
TRL Online Virtual Events,2020,9,"Featured, Activities & Games",Teen (ages 12-18),2,8
TRL Online Virtual Events,2020,9,"Featured, Arts & Culture",Adult (18 and older),1,45
TRL Online Virtual Events,2020,9,"Featured, Arts & Culture",Teen (ages 12-18),1,1
TRL Online Virtual Events,2020,9,"Featured, Classes & Workshops",All Ages,1,
TRL Online Virtual Events,2020,9,"Featured, Summer Library Program, Activities & Games",Teen (ages 12-18),2,11
TRL Online Virtual Events,2020,9,"Featured, Summer Library Program, Books & Authors","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Teen (ages 12-18), Adult (18 and older), All Ages, Family",1,
TRL Online Virtual Events,2020,9,"Featured, Summer Library Program, Books & Authors",Teen (ages 12-18),1,4
TRL Online Virtual Events,2020,9,Featured,Adult (18 and older),2,
TRL Online Virtual Events,2020,9,Friends of the Library Meeting,All Ages,1,
TRL Online Virtual Events,2020,9,"Special Event, Arts & Culture",Adult (18 and older),1,17
TRL Online Virtual Events,2020,9,Special Event,"Adult (18 and older), Family",1,6
TRL Online Virtual Events,2020,9,Special Event,All Ages,1,15
TRL Online Virtual Events,2020,9,STEAM,School Age (ages 6-11),1,5
TRL Online Virtual Events,2020,9,"Summer Library Program, Books & Authors",Adult (18 and older),1,4
TRL Online Virtual Events,2021,10,Arts & Culture,Adult (18 and older),1,
TRL Online Virtual Events,2021,11,"Arts & Culture, Books & Authors","Teen (ages 12-18), Adult (18 and older)",1,
TRL Online Virtual Events,2021,11,Arts & Culture,Adult (18 and older),1,
TRL Online Virtual Events,2021,12,Arts & Culture,Adult (18 and older),1,
TRL Online Virtual Events,2021,1,"Activities & Games, Classes & Workshops, Music & Performance",School Age (ages 6-11),1,
TRL Online Virtual Events,2021,1,"Activities & Games, Classes & Workshops, Music & Performance",Teen (ages 12-18),1,5
TRL Online Virtual Events,2021,1,Activities & Games,"Preschool (ages 3-6), School Age (ages 6-11)",1,3
TRL Online Virtual Events,2021,1,Activities & Games,School Age (ages 6-11),1,10
TRL Online Virtual Events,2021,1,"Arts & Culture, Books & Authors","Teen (ages 12-18), Adult (18 and older)",1,17
TRL Online Virtual Events,2021,1,Arts & Culture,Adult (18 and older),2,34
TRL Online Virtual Events,2021,1,Arts & Culture,Teen (ages 12-18),1,
TRL Online Virtual Events,2021,1,Arts & Culture,"Teen (ages 12-18), Adult (18 and older)",1,55
TRL Online Virtual Events,2021,1,Books & Authors,Adult (18 and older),4,5
TRL Online Virtual Events,2021,1,Books & Authors,Teen (ages 12-18),1,3
TRL Online Virtual Events,2021,1,Books & Authors,"Teen (ages 12-18), Adult (18 and older)",1,
TRL Online Virtual Events,2021,1,Classes & Workshops,Teen (ages 12-18),1,5
TRL Online Virtual Events,2021,1,DIY & Crafts,Family,1,
TRL Online Virtual Events,2021,1,"Featured, Activities & Games, Books & Authors","School Age (ages 6-11), Teen (ages 12-18)",1,6
TRL Online Virtual Events,2021,1,"Featured, Activities & Games",Teen (ages 12-18),2,0
TRL Online Virtual Events,2021,1,"Featured, Arts & Culture",Teen (ages 12-18),1,1
TRL Online Virtual Events,2021,1,"Featured, Books & Authors",Adult (18 and older),2,
TRL Online Virtual Events,2021,1,"Featured, Books & Authors","Teen (ages 12-18), Adult (18 and older)",1,
TRL Online Virtual Events,2021,1,"Featured, Early Learning & Storytime",Babies and Toddlers (ages 0-2),3,235
TRL Online Virtual Events,2021,1,"Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Adult (18 and older), All Ages, Family",6,291
TRL Online Virtual Events,2021,1,"Featured, Summer Library Program, Activities & Games",Teen (ages 12-18),2,28
TRL Online Virtual Events,2021,1,"Special Event, Early Learning & Storytime, Activities & Games, Arts & Culture","All Ages, Family",2,
TRL Online Virtual Events,2021,1,Special Event,All Ages,1,
TRL Online Virtual Events,2021,1,"STEAM, Activities & Games, DIY & Crafts","School Age (ages 6-11), Family",1,
TRL Online Virtual Events,2021,1,STEAM,School Age (ages 6-11),1,8
TRL Online Virtual Events,2021,2,"Activities & Games, Classes & Workshops, Music & Performance",Teen (ages 12-18),2,
TRL Online Virtual Events,2021,2,Activities & Games,"Preschool (ages 3-6), School Age (ages 6-11)",1,
TRL Online Virtual Events,2021,2,"Arts & Culture, Music & Performance","School Age (ages 6-11), Teen (ages 12-18), Adult (18 and older), Family",1,
TRL Online Virtual Events,2021,2,Arts & Culture,Adult (18 and older),1,
TRL Online Virtual Events,2021,2,Books & Authors,Adult (18 and older),5,
TRL Online Virtual Events,2021,2,Books & Authors,All Ages,1,
TRL Online Virtual Events,2021,2,Books & Authors,Teen (ages 12-18),1,
TRL Online Virtual Events,2021,2,Classes & Workshops,Teen (ages 12-18),1,
TRL Online Virtual Events,2021,2,DIY & Crafts,"Teen (ages 12-18), Adult (18 and older)",1,
TRL Online Virtual Events,2021,2,"Featured, Activities & Games, Books & Authors","School Age (ages 6-11), Teen (ages 12-18)",1,
TRL Online Virtual Events,2021,2,"Featured, Activities & Games",Teen (ages 12-18),2,
TRL Online Virtual Events,2021,2,"Featured, Arts & Culture",Teen (ages 12-18),1,
TRL Online Virtual Events,2021,2,"Featured, Books & Authors","Teen (ages 12-18), Adult (18 and older)",1,
TRL Online Virtual Events,2021,2,"Featured, Early Learning & Storytime",Babies and Toddlers (ages 0-2),4,
TRL Online Virtual Events,2021,2,"Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Adult (18 and older), All Ages, Family",8,
TRL Online Virtual Events,2021,2,"Featured, Summer Library Program, Activities & Games",Teen (ages 12-18),2,
TRL Online Virtual Events,2021,2,"Special Event, Books & Authors",Adult (18 and older),1,
TRL Online Virtual Events,2021,2,STEAM,School Age (ages 6-11),1,
TRL Online Virtual Events,2021,3,"Activities & Games, Classes & Workshops, Music & Performance",Teen (ages 12-18),2,
TRL Online Virtual Events,2021,3,Activities & Games,"Preschool (ages 3-6), School Age (ages 6-11)",1,
TRL Online Virtual Events,2021,3,"Arts & Culture, Books & Authors","Teen (ages 12-18), Adult (18 and older)",1,
TRL Online Virtual Events,2021,3,Arts & Culture,Adult (18 and older),1,
TRL Online Virtual Events,2021,3,Books & Authors,Adult (18 and older),2,
TRL Online Virtual Events,2021,3,Books & Authors,Teen (ages 12-18),1,
TRL Online Virtual Events,2021,3,Classes & Workshops,Teen (ages 12-18),1,
TRL Online Virtual Events,2021,3,DIY & Crafts,Teen (ages 12-18),1,
TRL Online Virtual Events,2021,3,"Featured, Activities & Games, Books & Authors","School Age (ages 6-11), Teen (ages 12-18)",1,
TRL Online Virtual Events,2021,3,"Featured, Activities & Games",Teen (ages 12-18),2,
TRL Online Virtual Events,2021,3,"Featured, Arts & Culture",Teen (ages 12-18),1,
TRL Online Virtual Events,2021,3,"Featured, Early Learning & Storytime",Babies and Toddlers (ages 0-2),5,
TRL Online Virtual Events,2021,3,"Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Adult (18 and older), All Ages, Family",8,
TRL Online Virtual Events,2021,3,"Featured, Special Event, Classes & Workshops",Adult (18 and older),1,
TRL Online Virtual Events,2021,3,"Featured, Summer Library Program, Activities & Games",Teen (ages 12-18),2,
TRL Online Virtual Events,2021,3,"STEAM, DIY & Crafts",School Age (ages 6-11),1,
TRL Online Virtual Events,2021,3,STEAM,School Age (ages 6-11),1,
TRL Online Virtual Events,2021,4,"Activities & Games, Classes & Workshops, Music & Performance",Teen (ages 12-18),2,
TRL Online Virtual Events,2021,4,Arts & Culture,Adult (18 and older),1,
TRL Online Virtual Events,2021,4,Books & Authors,Adult (18 and older),2,
TRL Online Virtual Events,2021,4,Books & Authors,Teen (ages 12-18),1,
TRL Online Virtual Events,2021,4,Classes & Workshops,Teen (ages 12-18),1,
TRL Online Virtual Events,2021,4,"Featured, Activities & Games, Books & Authors","School Age (ages 6-11), Teen (ages 12-18)",1,
TRL Online Virtual Events,2021,4,"Featured, Activities & Games",Teen (ages 12-18),2,
TRL Online Virtual Events,2021,4,"Featured, Early Learning & Storytime",Babies and Toddlers (ages 0-2),4,
TRL Online Virtual Events,2021,4,"Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Adult (18 and older), All Ages, Family",9,
TRL Online Virtual Events,2021,4,"Featured, Summer Library Program, Activities & Games",Teen (ages 12-18),2,
TRL Online Virtual Events,2021,4,STEAM,School Age (ages 6-11),1,
TRL Online Virtual Events,2021,5,"Activities & Games, Classes & Workshops, Music & Performance",Teen (ages 12-18),2,
TRL Online Virtual Events,2021,5,"Arts & Culture, Books & Authors","Teen (ages 12-18), Adult (18 and older)",1,
TRL Online Virtual Events,2021,5,Arts & Culture,Adult (18 and older),1,
TRL Online Virtual Events,2021,5,Books & Authors,Adult (18 and older),2,
TRL Online Virtual Events,2021,5,Books & Authors,Teen (ages 12-18),1,
TRL Online Virtual Events,2021,5,Classes & Workshops,Teen (ages 12-18),1,
TRL Online Virtual Events,2021,5,"Featured, Activities & Games, Books & Authors","School Age (ages 6-11), Teen (ages 12-18)",1,
TRL Online Virtual Events,2021,5,"Featured, Activities & Games",Teen (ages 12-18),2,
TRL Online Virtual Events,2021,5,"Featured, Early Learning & Storytime",Babies and Toddlers (ages 0-2),4,
TRL Online Virtual Events,2021,5,"Featured, Early Learning & Storytime","Babies and Toddlers (ages 0-2), Preschool (ages 3-6), School Age (ages 6-11), Adult (18 and older), All Ages, Family",9,
TRL Online Virtual Events,2021,5,"Featured, Summer Library Program, Activities & Games",Teen (ages 12-18),2,
TRL Online Virtual Events,2021,5,STEAM,School Age (ages 6-11),1,
TRL Online Virtual Events,2021,6,Arts & Culture,Adult (18 and older),1,
TRL Online Virtual Events,2021,7,"Arts & Culture, Books & Authors","Teen (ages 12-18), Adult (18 and older)",1,
TRL Online Virtual Events,2021,7,Arts & Culture,Adult (18 and older),1,
TRL Online Virtual Events,2021,8,Arts & Culture,Adult (18 and older),1,
TRL Online Virtual Events,2021,9,"Arts & Culture, Books & Authors","Teen (ages 12-18), Adult (18 and older)",1,
TRL Online Virtual Events,2021,9,Arts & Culture,Adult (18 and older),1,
Tumwater,2020,10,"Arts & Culture, Music & Performance","Adult (18 and older), All Ages",1,
Tumwater,2020,10,Books & Authors,Adult (18 and older),4,
Tumwater,2020,11,"Arts & Culture, Music & Performance","Adult (18 and older), All Ages",1,
Tumwater,2020,11,Books & Authors,Adult (18 and older),4,
Tumwater,2020,12,"Arts & Culture, Music & Performance","Adult (18 and older), All Ages",1,
Tumwater,2020,12,Books & Authors,Adult (18 and older),2,
Tumwater,2020,12,Early Learning & Storytime,Preschool (ages 3-6),1,28
Tumwater,2020,1,Activities & Games,Teen (ages 12-18),1,10
Tumwater,2020,1,"Arts & Culture, Music & Performance","Adult (18 and older), All Ages",1,15
Tumwater,2020,1,Arts & Culture,Adult (18 and older),3,5
Tumwater,2020,1,Arts & Culture,Teen (ages 12-18),1,17
Tumwater,2020,1,Books & Authors,Adult (18 and older),4,11
Tumwater,2020,1,Books & Authors,Teen (ages 12-18),1,6
Tumwater,2020,1,DIY & Crafts,Adult (18 and older),2,10
Tumwater,2020,1,DIY & Crafts,Teen (ages 12-18),1,12
Tumwater,2020,1,Early Learning & Storytime,Babies and Toddlers (ages 0-2),15,407
Tumwater,2020,1,Early Learning & Storytime,Preschool (ages 3-6),6,117
Tumwater,2020,1,Special Event,Adult (18 and older),5,
Tumwater,2020,1,STEAM,"Preschool (ages 3-6), School Age (ages 6-11), Family",1,45
Tumwater,2020,2,Activities & Games,Family,1,125
Tumwater,2020,2,Activities & Games,Teen (ages 12-18),2,12
Tumwater,2020,2,Arts & Culture,Adult (18 and older),2,5
Tumwater,2020,2,Arts & Culture,All Ages,1,21
Tumwater,2020,2,Arts & Culture,Teen (ages 12-18),1,
Tumwater,2020,2,Books & Authors,Adult (18 and older),4,10
Tumwater,2020,2,Books & Authors,Teen (ages 12-18),1,
Tumwater,2020,2,"Classes & Workshops, DIY & Crafts",Adult (18 and older),1,
Tumwater,2020,2,Early Learning & Storytime,Babies and Toddlers (ages 0-2),16,353
Tumwater,2020,2,Early Learning & Storytime,Preschool (ages 3-6),9,164
Tumwater,2020,2,Friends of the Library Meeting,Adult (18 and older),1,
Tumwater,2020,2,Special Event,Adult (18 and older),7,27
Tumwater,2020,2,STEAM,"Preschool (ages 3-6), School Age (ages 6-11), Family",2,46
Tumwater,2020,3,Activities & Games,Teen (ages 12-18),1,
Tumwater,2020,3,Arts & Culture,Adult (18 and older),1,4
Tumwater,2020,3,Books & Authors,Adult (18 and older),2,
Tumwater,2020,3,Early Learning & Storytime,Babies and Toddlers (ages 0-2),4,73
Tumwater,2020,3,Early Learning & Storytime,Preschool (ages 3-6),4,62
Tumwater,2020,3,Special Event,Adult (18 and older),2,
Tumwater,2020,4,Early Learning & Storytime,Preschool (ages 3-6),2,
Tumwater,2020,9,"Arts & Culture, Music & Performance","Adult (18 and older), All Ages",1,
Tumwater,2020,9,Books & Authors,Adult (18 and older),4,
Westport,2020,10,Friends of the Library Meeting,Adult (18 and older),1,
Westport,2020,1,Activities & Games,"Preschool (ages 3-6), School Age (ages 6-11), Family",1,17
Westport,2020,1,Special Event,Adult (18 and older),2,14
Westport,2020,2,"Activities & Games, DIY & Crafts",All Ages,1,26
Westport,2020,2,Friends of the Library Meeting,Adult (18 and older),1,
Westport,2020,2,Special Event,Adult (18 and older),2,3
Westport,2020,3,"Activities & Games, DIY & Crafts",Adult (18 and older),1,3
Westport,2020,3,Special Event,Adult (18 and older),1,5
Westport,2020,3,Summer Library Program,All Ages,1,
